DATA FILE Produced from netmc results (cf David Morley)
715 atoms
1716 bonds
0 angles
0 dihedrals
0 impropers
2 atom types
2 bond types
0 angle types
0 dihedral types
0 improper types
0.00000 118.75100618855458 xlo xhi
0.00000 102.84138655447383 ylo yhi

# Pair Coeffs
#
# 1  O
# 2  Si

# Bond Coeffs
# 
# 1  O-O
# 2  Si-O
# 3  O-O rep
# 4  Si-Si rep

 Masses

1 28.10000 # O 
2 32.01000 # Si

 Atoms # molecular

1    1    2    64.3232879025685         58.562456232408714       5.0                      # Si
2    2    2    74.21948599429093        58.562456232408714       5.0                      # Si
3    3    2    84.11511274497698        58.562456232408714       5.0                      # Si
4    4    2    94.01131083669944        58.562456232408714       5.0                      # Si
5    5    2    103.90693758738547       58.562456232408714       5.0                      # Si
6    6    2    113.80313567910794       58.562456232408714       5.0                      # Si
7    7    2    4.94781337534302         58.562456232408714       5.0                      # Si
8    8    2    14.84401146706547        58.562456232408714       5.0                      # Si
9    9    2    24.73963821775151        58.562456232408714       5.0                      # Si
10   10   2    34.63583630947396        58.562456232408714       5.0                      # Si
11   11   2    44.53146306016           58.562456232408714       5.0                      # Si
12   12   2    59.37547452722548        61.41916141447743        5.0                      # Si
13   13   2    69.27167261894792        61.41916141447743        5.0                      # Si
14   14   2    79.16729936963397        61.41916141447743        5.0                      # Si
15   15   2    89.0634974613564         61.41916141447743        5.0                      # Si
16   16   2    98.95912421204245        61.41916141447743        5.0                      # Si
17   17   2    108.85532230376492       61.41916141447743        5.0                      # Si
18   18   2    118.75094905445096       61.41916141447743        5.0                      # Si
19   19   2    9.896198091722452        61.41916141447743        5.0                      # Si
20   20   2    19.79182484240849        61.41916141447743        5.0                      # Si
21   21   2    29.68802293413094        61.41916141447743        5.0                      # Si
22   22   2    39.58364968481698        61.41916141447743        5.0                      # Si
23   23   2    49.47984777653942        61.41916141447743        5.0                      # Si
24   24   2    69.27167261894792        67.13257177861487        5.0                      # Si
25   25   2    79.16729936963397        67.13257177861487        5.0                      # Si
26   26   2    89.0634974613564         67.13257177861487        5.0                      # Si
27   27   2    98.95912421204245        67.13257177861487        5.0                      # Si
28   28   2    108.85532230376492       67.13257177861487        5.0                      # Si
29   29   2    118.75094905445096       67.13257177861487        5.0                      # Si
30   30   2    9.896198091722452        67.13257177861487        5.0                      # Si
31   31   2    19.79182484240849        67.13257177861487        5.0                      # Si
32   32   2    29.68802293413094        67.13257177861487        5.0                      # Si
33   33   2    39.58364968481698        67.13257177861487        5.0                      # Si
34   34   2    49.47984777653942        67.13257177861487        5.0                      # Si
35   35   2    59.37547452722548        67.13257177861487        5.0                      # Si
36   36   2    64.3232879025685         69.98927696068358        5.0                      # Si
37   37   2    74.21948599429093        69.98927696068358        5.0                      # Si
38   38   2    84.11511274497698        69.98927696068358        5.0                      # Si
39   39   2    94.01131083669944        69.98927696068358        5.0                      # Si
40   40   2    103.90693758738547       69.98927696068358        5.0                      # Si
41   41   2    113.80313567910794       69.98927696068358        5.0                      # Si
42   42   2    4.94781337534302         69.98927696068358        5.0                      # Si
43   43   2    14.84401146706547        69.98927696068358        5.0                      # Si
44   44   2    24.73963821775151        69.98927696068358        5.0                      # Si
45   45   2    34.63583630947396        69.98927696068358        5.0                      # Si
46   46   2    44.53146306016           69.98927696068358        5.0                      # Si
47   47   2    54.42766115188246        69.98927696068358        5.0                      # Si
48   48   2    64.3232879025685         75.70268732482101        5.0                      # Si
49   49   2    74.21948599429093        75.70268732482101        5.0                      # Si
50   50   2    84.11511274497698        75.70268732482101        5.0                      # Si
51   51   2    94.01131083669944        75.70268732482101        5.0                      # Si
52   52   2    103.90693758738547       75.70268732482101        5.0                      # Si
53   53   2    113.80313567910794       75.70268732482101        5.0                      # Si
54   54   2    4.94781337534302         75.70268732482101        5.0                      # Si
55   55   2    14.84401146706547        75.70268732482101        5.0                      # Si
56   56   2    24.73963821775151        75.70268732482101        5.0                      # Si
57   57   2    34.63583630947396        75.70268732482101        5.0                      # Si
58   58   2    44.53146306016           75.70268732482101        5.0                      # Si
59   59   2    54.42766115188246        75.70268732482101        5.0                      # Si
60   60   2    59.37547452722548        78.55939250688974        5.0                      # Si
61   61   2    69.27167261894792        78.55939250688974        5.0                      # Si
