ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
616
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.6509867900000000e+02
0.0000000000000000e+00 2.2964238000000000e+02
-5.0000000000000000e-01 5.0000000000000000e-01
ITEM: ATOMS id fx fy fz
482 -0.147413 -0.113819 0
483 0.0389917 0.048289 0
535 0.0224617 0.284319 0
509 -0.137391 0.00744886 0
510 0.212445 -0.0712618 0
536 0.00803912 0.174619 0
485 0 0 0
511 -0.100833 -0.0938998 0
512 0.0406576 0.0583642 0
513 0.116186 -0.0528482 0
538 0.0176549 0.0522907 0
489 -0.132932 0.11104 0
490 0 0 0
542 -0.0336401 0.0139146 0
543 0 0 0
491 0.0889461 -0.218134 0
516 -0.0793489 0.105336 0
492 0.0444242 0.0899161 0
517 0 0 0
518 0.00637681 -0.0968859 0
545 -0.627172 -0.491029 0
568 0.654655 0.460499 0
546 -0.182916 0.029605 0
570 -0.0182048 0.0072932 0
521 0.132707 -0.0159179 0
548 -0.133481 -0.330728 0
549 -0.194162 0.0630042 0
550 0.0215753 -0.0380711 0
572 -0.0934346 -0.0467186 0
551 -0.241422 0.237643 0
574 -0.019191 -0.0728765 0
525 0.146062 -0.0336713 0
526 0.0912772 0.102174 0
502 0 0 0
554 0.0421669 -0.169698 0
576 0.00299417 -0.0173972 0
528 0.300208 0.851325 0
506 0.398183 1.0415 0
531 -0.518035 -0.128535 0
532 -0.0870758 -0.455528 0
556 -0.103361 -0.32128 0
533 0.843481 -0.414933 0
534 -0.0392966 0.166507 0
558 -0.127637 -0.16645 0
599 0 0 0
559 0.720406 -0.255224 0
579 -0.519283 0.13655 0
537 0.0562219 0.0781189 0
581 -0.0159787 -0.095527 0
582 0.0889646 -0.00795867 0
488 0.0100613 0.233363 0
561 0.0611806 -0.0160555 0
562 0 0 0
563 -0.0783121 0.0136304 0
515 0 0 0
540 0.184401 -0.0522065 0
514 -0.083661 -0.10751 0
541 -0.0906422 -0.0576861 0
585 0 0 0
544 0.302066 -0.263146 0
565 -0.0972265 0.188769 0
566 0.06005 0.0820366 0
567 0.293048 -0.143416 0
588 -0.412578 -0.0204858 0
590 0.163976 -0.200077 0
13 0 0 0
569 -0.0466616 0.111611 0
609 0.114971 -0.166182 0
571 0.143086 0.11002 0
591 0.172979 -0.0135045 0
610 -0.031029 0.0106408 0
611 -0.0358387 0.138375 0
592 0.169502 -0.0272102 0
593 -0.151548 0.183618 0
573 0.190544 -0.1018 0
552 0.0417327 -0.13126 0
553 -0.410373 0.0304284 0
575 -0.228478 -0.681684 0
595 0.0823799 0.613419 0
596 0.0578979 0.066179 0
615 0.578823 0.067991 0
555 0.25276 -0.303202 0
577 -0.472712 0.325212 0
597 0 0 0
616 0.0286982 -0.613974 0
557 -0.0120716 -0.316986 0
578 0.0276807 -0.507616 0
598 0.486104 0.455312 0
3 -0.538808 0.113142 0
4 0 0 0
21 0.178472 -0.00110368 0
600 -0.122325 0.107289 0
560 -0.121262 -0.143937 0
580 0.100706 0.0245288 0
539 -0.0380602 0.100526 0
583 0 0 0
564 -0.277403 0.0446368 0
584 0.038366 -0.0343592 0
8 0 0 0
25 -0.137832 -0.0688779 0
604 -0.093466 -0.0663525 0
605 0.0412031 0.0749337 0
586 0.0782527 0.148533 0
587 0.297528 -0.259783 0
606 0.0331938 0.0602945 0
11 0 0 0
589 0 0 0
607 -0.0910299 0.145713 0
608 -0.0437768 -0.01848 0
47 -0.0204621 0.151156 0
14 -0.293306 -0.189468 0
15 0.151757 0.120865 0
612 -0.141091 0.0240207 0
16 0 0 0
33 0.0262994 0.11875 0
613 -0.208013 -0.127944 0
17 0.0103366 0.0161324 0
34 0.0746639 -0.0149981 0
35 0.0404666 -0.0905327 0
594 0.0110029 -0.0657046 0
614 0.0519192 -0.0122974 0
18 -0.301689 -0.0552967 0
19 -0.645081 0.46357 0
36 0 0 0
54 -0.711258 -0.432302 0
1 -0.606781 -0.23575 0
2 0 0 0
20 0.310265 -0.209944 0
37 0.280287 0.061189 0
38 -0.584256 0.0611377 0
5 -0.252398 -0.0473171 0
601 0 0 0
602 0.395946 -0.109193 0
22 0.00932151 -0.0507778 0
40 -0.529251 -0.41737 0
603 -0.120754 0.0324184 0
6 0 0 0
23 0.155923 0.294894 0
24 0.00382762 -0.713953 0
41 0.0543413 0.823823 0
7 -0.143476 0.128774 0
26 0.0405524 -0.0644434 0
43 -0.0608773 0.411544 0
10 0.657009 -0.197372 0
27 -0.255229 0.0147578 0
12 -0.225321 -0.103442 0
28 0 0 0
29 0.479005 -0.151385 0
30 -0.138488 -0.119839 0
32 -0.0923945 0.0482694 0
46 -0.0260946 -0.135295 0
49 -0.0282935 0.0533884 0
50 0.129892 -0.0539723 0
70 0 0 0
51 -0.0545988 0.164256 0
52 0.0662968 -0.0163687 0
53 0.0292196 -0.135204 0
71 0.113035 0.329502 0
72 0.775218 -0.166915 0
73 -0.274799 0.471533 0
93 -0.227476 0.258384 0
114 -0.291115 0.294156 0
55 0.145468 0.0581011 0
74 0.241651 0.163999 0
94 -0.0460891 0.467778 0
95 -0.135921 -0.10423 0
75 0.0998444 -0.172316 0
76 0 0 0
56 -0.0696959 0.0620841 0
57 0.00756954 -0.0137778 0
77 -0.179431 -0.227581 0
39 0.172267 -0.145264 0
58 0.185154 0.143149 0
59 0.194592 0.310228 0
79 0.0913223 -0.0141712 0
42 -0.727354 0.127882 0
61 0.785593 -0.07354 0
9 -0.726148 0.27045 0
62 0.0362175 -0.0144926 0
81 -0.123729 -0.188199 0
63 -0.616081 -0.206186 0
83 0.5932 0.194768 0
45 0.277803 -0.0936428 0
64 -0.814943 0.315409 0
66 0.247941 -0.258179 0
84 0.910804 0.203561 0
48 -0.107424 -0.0924385 0
31 -0.00448688 0.0970912 0
68 0.177044 0.263642 0
86 0.195685 0.296834 0
69 0.106726 -0.0441746 0
87 0.302888 -0.4976 0
88 0 0 0
89 -0.0418937 -0.0946538 0
110 0.0554914 -0.0116034 0
134 -0.0118133 -0.149916 0
90 -0.819187 -0.186689 0
91 0.648637 0.259218 0
92 -0.860774 -0.00721243 0
111 0.00852216 -0.071096 0
113 0.289228 -0.00927476 0
139 -0.190951 0.284934 0
164 0.79799 0.150501 0
115 0.354431 0.137607 0
116 -0.0127962 0.303095 0
140 -0.362768 -0.081208 0
165 -0.0819313 -0.824913 0
117 0.44307 0.142935 0
118 -0.108779 -0.145745 0
143 0 0 0
119 -0.199367 -0.0432928 0
120 0.395987 0.0923384 0
144 -0.0975835 -0.0147304 0
96 0.00577925 0.144281 0
97 0.0352415 0.0116692 0
121 -0.149006 -0.787528 0
122 -0.0665644 0.111077 0
98 0.174109 -0.00507214 0
123 0 0 0
124 -0.0505492 -0.150772 0
78 0.0892937 0.00769086 0
80 0.0620248 -0.251224 0
99 0.0784921 -0.0438405 0
100 0 0 0
60 -0.0545507 -0.170661 0
125 -0.14474 -0.110067 0
44 0 0 0
82 0.080432 -0.150686 0
101 -0.156485 0.0766646 0
104 0.00231588 -0.0378131 0
128 0.192645 0.0489064 0
65 0.0884547 0.0947953 0
85 0.00789455 0.0566965 0
105 -0.0887636 0.13859 0
106 0.0297031 -0.0598762 0
67 0.00539064 0.0124881 0
107 -0.00410762 -0.166977 0
108 -0.00318322 0.0995325 0
133 -0.451409 0.661344 0
109 0.0053897 -0.131589 0
159 0.504862 -0.526494 0
135 -0.0894142 0.124141 0
161 -5.14933e-05 0.0641436 0
136 -0.0866206 0.188434 0
138 0.137652 -0.019654 0
217 0.102604 -0.0600514 0
137 -0.00536926 -0.349583 0
191 -0.610168 -0.160817 0
166 0 0 0
192 0.523581 0.194598 0
141 0 0 0
142 0.00548422 0.0384651 0
167 -0.0602623 -0.0140375 0
169 0 0 0
170 0.0183435 0.000633234 0
171 0.0299328 -0.1703 0
195 -0.313833 0.0934924 0
146 0.356115 0.159193 0
196 0.147364 0.0673433 0
145 0.0630449 0.10163 0
148 -0.266955 0.185425 0
197 -0.0250697 0.369056 0
147 0 0 0
149 -0.156309 0.193182 0
150 0.0402685 0.146696 0
126 0.134064 -0.0817704 0
151 0.1834 0.271399 0
152 -0.016337 0.0347432 0
102 0.139942 -0.0224446 0
103 -0.298157 -0.290008 0
153 0 0 0
129 -0.0119684 0.264621 0
130 -0.187089 -0.424658 0
131 0 0 0
155 -0.108985 0.257041 0
132 0 0 0
156 -0.0668728 0.00917426 0
157 0.113774 -0.110179 0
158 0.0856731 0.0751763 0
184 -0.0719363 -0.0221091 0
210 -0.368799 0.555874 0
185 -0.0756122 -0.208068 0
160 -0.14987 -0.377436 0
186 -0.156073 0.0532148 0
187 -0.170175 0.200584 0
188 0.0907687 0.0888111 0
212 0.0722382 -0.0729026 0
112 -0.00185278 -0.0791654 0
162 -0.106893 0.0922693 0
189 -0.012639 -0.0186537 0
190 0.281036 0.0652449 0
216 0.10144 -0.164639 0
193 0.0103957 0.0368841 0
218 -0.0283433 -0.0149479 0
168 0.0874966 -0.00848993 0
194 -0.015967 0.114165 0
221 0.0708217 -0.185923 0
222 -0.0101631 0.00518594 0
223 0 0 0
224 -0.0228484 0.0807655 0
173 -0.0879587 0.259192 0
198 0 0 0
225 -0.0424671 0.231137 0
172 0 0 0
174 -0.0544211 0.28535 0
200 0.0465018 -0.472727 0
175 0 0 0
176 0.0361611 -0.111305 0
177 0.279725 -0.0367896 0
201 -0.0143637 0.465096 0
202 -0.0303211 0.0194993 0
178 -0.0425672 -0.075108 0
256 -0.101009 0.00816627 0
127 0.0105704 0.0597373 0
179 0.0845139 0.155679 0
204 0.0688024 0.00178797 0
154 0.59935 0.203632 0
180 -0.623635 -0.0777968 0
206 0.0291512 -0.127006 0
181 -0.0747967 -0.00235405 0
182 0.000146462 -0.064196 0
183 0 0 0
207 0.145713 -0.204156 0
208 0.0326597 -0.0868512 0
235 0 0 0
260 0 0 0
209 0.214199 -0.248166 0
236 -0.023744 0.210082 0
289 0.0114735 -0.029482 0
211 -0.107403 -0.677696 0
237 0.297402 -0.188289 0
238 0.207735 0.816648 0
263 0.021384 -0.0171791 0
264 -0.015829 -0.0100788 0
213 -0.14695 0.0817958 0
265 -0.29192 -0.199697 0
163 0 0 0
215 -0.00698883 -0.133637 0
243 -0.0913519 0.0257843 0
242 -0.0758255 -0.0876248 0
219 0.0986442 -0.0683457 0
220 -0.115096 0.108559 0
244 0.0521064 -0.0321877 0
269 0 0 0
270 0.0114557 0.00818997 0
246 0.103232 0.0676353 0
298 0.0243636 0.0274132 0
247 -0.335577 -0.58561 0
272 -0.0600833 0.382361 0
273 0.330215 0.00728125 0
248 0 0 0
249 -0.29353 -0.14761 0
250 -0.0169176 0.173978 0
199 0.054731 -0.256894 0
226 0 0 0
277 0.276663 -0.110071 0
251 0 0 0
252 -0.0445979 -0.0625281 0
227 -0.14377 -0.0156944 0
228 -0.0062829 0.031924 0
203 0.255928 -0.0921163 0
229 0.0154301 0.0468804 0
255 -0.0249106 -0.0479043 0
205 0.061207 -0.029379 0
232 -0.0302894 -0.0192069 0
233 -0.160732 0.113723 0
258 0 0 0
234 -0.0639774 -0.0790265 0
259 -0.0610997 0.128998 0
261 -0.0424455 0.132555 0
262 0.133809 -0.0649626 0
287 0 0 0
288 0 0 0
290 -0.319686 -0.607517 0
316 0.306488 0.0222903 0
214 -0.0657822 -0.0287044 0
240 0.279246 0.415632 0
241 0.074915 0.0570165 0
266 0.246685 0.273732 0
267 0.177492 -0.00300571 0
268 0.043947 -0.214844 0
294 -0.151755 -0.056394 0
348 0.0783421 -0.0171941 0
245 -0.0751051 -0.452996 0
296 0.07862 0.158165 0
322 -0.0702029 0.0973809 0
271 -0.0685897 -0.0475349 0
274 0.0771578 0.194499 0
299 -0.630171 0.215323 0
275 0.137345 0.0589738 0
300 0.623275 -0.275962 0
301 -0.437807 -0.168491 0
328 0.133896 -0.0311072 0
354 -0.137788 -0.0509333 0
276 0.00138005 -0.0423645 0
278 -0.166052 -0.251652 0
302 0.379959 0.0719332 0
253 -0.044112 0.0334536 0
280 -0.194545 -0.11027 0
254 0.156478 0.0431853 0
305 0.433531 0.186946 0
306 -0.290892 0.166899 0
230 0.101378 -0.404873 0
281 0.0498474 0.145592 0
282 -0.0585646 -0.0797045 0
231 -0.065912 -0.122286 0
257 0 0 0
